"Title";"ItemType";"Size";"ItemState";"DirName";"DeletedByName";"DeletedDate";"Id"
"ANTMDIX-V220-VA20-LR010-V220-20-1_IS1.pcf";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/21/2023 12:10:19 AM";"be57b121-2721-40f1-8e50-3f7d82dac378"
"ANTMDIX-V220-VA20-LR010-V220-20-1_IS1.pcf";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/21/2023 12:08:35 AM";"ddc1faf5-deca-468b-8da8-b9bff5c1f92c"
"ANTMDIX-V220-VA20-LR010-V220-20-1_IS0.sha";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/6/2023 1:04:15 AM";"ef616968-9588-4cf7-97d3-d0d2b528b347"
"ANTMDIX-V220-VA20-LR010-V220-20-1_IS0.sha";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/6/2023 1:06:13 AM";"03e63de0-b380-48c9-8ca7-43d8eac0833a"
"ANTMDIX-V220-VA20-LR010-V220-20-1_IS0.pcf";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/6/2023 1:02:40 AM";"4ead98a4-8878-48b2-b75c-96d1d2585e37"
"ANTMDIX-V220-VA20-LR010-V220-20-1_IS0.pcf";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/6/2023 1:03:15 AM";"9a63fabe-e99f-4bd2-a7e4-d54b5aeb42e1"
"ANTMDIX-V220-VA20-LR007-V220-20-1_IS0.sha";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/9/2023 6:40:51 AM";"0d9de095-4aa8-4fa3-b8d3-35aef4402a63"
"ANTMDIX-V220-VA20-LR007-V220-20-1_IS0.sha";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/9/2023 6:40:55 AM";"fe9008f5-75ae-47e4-b273-4065ea9f7ba5"
"ANTMDIX-V220-VA20-LR007-V220-20-1_IS0.pcf";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/9/2023 6:40:15 AM";"114ebe43-8ccd-48a1-bc68-bb138942ae8d"
"ANTMDIX-V220-VA20-LR007-V220-20-1_IS0.pcf";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/9/2023 6:38:44 AM";"3532d4fe-51c5-4147-802a-64e48704901d"
"ANTMDIX-V220-VA20-LR006-V220-20-1_IS1.sha";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/21/2023 12:08:07 AM";"bd892ca1-4621-482d-8c79-90f9b43dde7a"
