"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: AVDTNumber";"Trigger Property: ID_VDL";"Trigger Property: SiteUrl";"FlowRunLink";"FlowError"
"08585023227914892224084102150CU168";"Succeeded";"11/6/2023 4:21:33 PM";"11/6/2023 4:21:34 PM";"AVDT-4300-X4-TCM-7500111348-00087";"9187";"https://tecnimont.sharepoint.com/sites/vdm_43x4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227914892224084102150CU168";"N/A"
"08585023227753188418646693578CU175";"Succeeded";"11/6/2023 4:21:50 PM";"11/6/2023 4:21:50 PM";"AVDT-4300-P4-TCM-7500108837-00142";"42432";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227753188418646693578CU175";"N/A"
"08585023227752596355242363897CU252";"Succeeded";"11/6/2023 4:21:50 PM";"11/6/2023 4:21:50 PM";"AVDT-4300-P4-TCM-7500108837-00142";"42434";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227752596355242363897CU252";"N/A"
"08585023227746722783181754247CU169";"Succeeded";"11/6/2023 4:21:50 PM";"11/6/2023 4:21:51 PM";"AVDT-4300-P4-TCM-7500108837-00142";"42435";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227746722783181754247CU169";"N/A"
"08585023227744138284445359682CU186";"Succeeded";"11/6/2023 4:21:51 PM";"11/6/2023 4:21:51 PM";"AVDT-4300-P4-TCM-7500108837-00142";"42436";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227744138284445359682CU186";"N/A"
"08585023227742721034997899244CU175";"Succeeded";"11/6/2023 4:21:51 PM";"11/6/2023 4:21:51 PM";"AVDT-4300-P4-TCM-7500108837-00142";"42437";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227742721034997899244CU175";"N/A"
"08585023227741640519784288318CU255";"Succeeded";"11/6/2023 4:21:51 PM";"11/6/2023 4:21:51 PM";"AVDT-4300-P4-TCM-7500108837-00142";"42440";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227741640519784288318CU255";"N/A"
"08585023227740354847424706176CU248";"Succeeded";"11/6/2023 4:21:51 PM";"11/6/2023 4:21:51 PM";"AVDT-4300-P4-TCM-7500108837-00142";"42439";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023227740354847424706176CU248";"N/A"
"08585023225664415195237883456CU175";"Succeeded";"11/6/2023 4:25:19 PM";"11/6/2023 4:25:19 PM";"AVDT-4300-U4-TCM-7500110526-00055";"14419";"https://tecnimont.sharepoint.com/sites/vdm_43U4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023225664415195237883456CU175";"N/A"
"08585023224075349177685173190CU190";"Succeeded";"11/6/2023 4:27:57 PM";"11/6/2023 4:27:58 PM";"AVDT-4300-X4-TCM-7500111348-00088";"10296";"https://tecnimont.sharepoint.com/sites/vdm_43x4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023224075349177685173190CU190";"N/A"
"08585023223610657409200639855CU249";"Succeeded";"11/6/2023 4:28:44 PM";"11/6/2023 4:28:44 PM";"AVDT-4305-TCM-7500106242-00167";"18096";"https://tecnimont.sharepoint.com/sites/vdm_4305";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023223610657409200639855CU249";"N/A"
"08585023222408088797946826301CU158";"Succeeded";"11/6/2023 4:30:44 PM";"11/6/2023 4:30:45 PM";"AVDT-4300-P4-TCM-7500108837-00143";"42438";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023222408088797946826301CU158";"N/A"
"08585023222404906577211346324CU157";"Succeeded";"11/6/2023 4:30:44 PM";"11/6/2023 4:30:45 PM";"AVDT-4300-P4-TCM-7500108837-00143";"42446";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023222404906577211346324CU157";"N/A"
"08585023222402126292597532375CU253";"Succeeded";"11/6/2023 4:30:45 PM";"11/6/2023 4:30:45 PM";"AVDT-4300-P4-TCM-7500108837-00143";"42448";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023222402126292597532375CU253";"N/A"
"08585023222396217827048949976CU172";"Succeeded";"11/6/2023 4:30:45 PM";"11/6/2023 4:30:46 PM";"AVDT-4300-P4-TCM-7500108837-00143";"42447";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023222396217827048949976CU172";"N/A"
