"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: FolderToBreak";"Trigger Property: FolderToReset";"Trigger Property: Library";"Trigger Property: OwnerGroup";"Trigger Property: SiteURL";"FlowRunLink";"FlowError"
"08585007691968824630040489955CU57";"Failed";"11/24/2023 3:54:48 PM";"11/24/2023 3:55:03 PM";"Archive-00374-00/Response";"Archive-00374-00";"FTATRANSMITTALSTOOWNER";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007691968824630040489955CU57";"StatusCode   : N/A
ErrorType    : ActionFailed
ErrorAction  : Action 'Get_item:_check_item_existence' failed
ErrorMessage : Unable to process template language expressions in action 'Get_item:_check_item_existence' inputs at line '0' and column '0': 'The template language expression 'outputs('Get_the_Folder')?['body/d/results'][0]['Id']' cannot be evaluated because array index '0' cannot be selected from empty array. Please see https://aka.ms/logicexpressions for usage details.'."
"08585007691489340317622821756CU71";"Succeeded";"11/24/2023 3:55:36 PM";"11/24/2023 3:55:43 PM";"Archive-00375-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007691489340317622821756CU71";"N/A"
"08585007690924407018537208418CU68";"Failed";"11/24/2023 3:56:33 PM";"11/24/2023 3:56:47 PM";"Archive-00375-00/Response";"Archive-00375-00";"FTATRANSMITTALSTOOWNER";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007690924407018537208418CU68";"StatusCode   : N/A
ErrorType    : ActionFailed
ErrorAction  : Action 'Get_item:_check_item_existence' failed
ErrorMessage : Unable to process template language expressions in action 'Get_item:_check_item_existence' inputs at line '0' and column '0': 'The template language expression 'outputs('Get_the_Folder')?['body/d/results'][0]['Id']' cannot be evaluated because array index '0' cannot be selected from empty array. Please see https://aka.ms/logicexpressions for usage details.'."
"08585007672223070936973752213CU66";"Succeeded";"11/24/2023 4:27:43 PM";"11/24/2023 4:27:49 PM";"Archive-00376-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007672223070936973752213CU66";"N/A"
"08585007661974317338647312974CU70";"Failed";"11/24/2023 4:44:48 PM";"11/24/2023 4:45:01 PM";"Archive-00376-00/Response";"Archive-00376-00";"FTATRANSMITTALSTOOWNER";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007661974317338647312974CU70";"StatusCode   : N/A
ErrorType    : ActionFailed
ErrorAction  : Action 'Get_item:_check_item_existence' failed
ErrorMessage : Unable to process template language expressions in action 'Get_item:_check_item_existence' inputs at line '0' and column '0': 'The template language expression 'outputs('Get_the_Folder')?['body/d/results'][0]['Id']' cannot be evaluated because array index '0' cannot be selected from empty array. Please see https://aka.ms/logicexpressions for usage details.'."
"08585007651433953589247369797CU58";"Succeeded";"11/24/2023 5:02:22 PM";"11/24/2023 5:02:34 PM";"BREMBANA 0610005-IN-20_01-1";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007651433953589247369797CU58";"N/A"
"08585007651113987685493100658CU62";"Succeeded";"11/24/2023 5:02:54 PM";"11/24/2023 5:03:04 PM";"BREMBANA 0610005-IN-20_01-1/Response";"BREMBANA 0610005-IN-20_01-1";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007651113987685493100658CU62";"N/A"
"08585007649985108671437003094CU56";"Succeeded";"11/24/2023 5:04:46 PM";"11/24/2023 5:04:57 PM";"BREMBANA 0610005-IN-23_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007649985108671437003094CU56";"N/A"
"08585007649544912739686899647CU91";"Succeeded";"11/24/2023 5:05:30 PM";"11/24/2023 5:05:39 PM";"BREMBANA 0610005-IN-23_0-0/Response";"BREMBANA 0610005-IN-23_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007649544912739686899647CU91";"N/A"
"08585007645409892003838675339CU68";"Succeeded";"11/24/2023 5:12:24 PM";"11/24/2023 5:12:33 PM";"BARETTI 0570.01-IN-12_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007645409892003838675339CU68";"N/A"
"08585007645025568352626906671CU60";"Succeeded";"11/24/2023 5:13:02 PM";"11/24/2023 5:13:13 PM";"BARETTI 0570.01-IN-12_0-0/Response";"BARETTI 0570.01-IN-12_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007645025568352626906671CU60";"N/A"
"08585007644579578631522348026CU213";"Succeeded";"11/24/2023 5:13:47 PM";"11/24/2023 5:13:55 PM";"BARETTI 0570.01-IN-13_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007644579578631522348026CU213";"N/A"
"08585007644265699899438686975CU208";"Succeeded";"11/24/2023 5:14:18 PM";"11/24/2023 5:14:27 PM";"BARETTI 0570.01-IN-13_0-0/Response";"BARETTI 0570.01-IN-13_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007644265699899438686975CU208";"N/A"
"08585007643923266823221721623CU88";"Succeeded";"11/24/2023 5:14:53 PM";"11/24/2023 5:15:01 PM";"BARETTI 0570.01-IN-14_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007643923266823221721623CU88";"N/A"
"08585007643589194925910201352CU61";"Succeeded";"11/24/2023 5:15:26 PM";"11/24/2023 5:15:35 PM";"BARETTI 0570.01-IN-14_0-0/Response";"BARETTI 0570.01-IN-14_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007643589194925910201352CU61";"N/A"
"08585007643048666090149513466CU208";"Succeeded";"11/24/2023 5:16:20 PM";"11/24/2023 5:16:31 PM";"BARETTI 0570.01-IN-15_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007643048666090149513466CU208";"N/A"
"08585007642692567132029904299CU213";"Succeeded";"11/24/2023 5:16:56 PM";"11/24/2023 5:17:03 PM";"BARETTI 0570.01-IN-15_0-0/Response";"BARETTI 0570.01-IN-15_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007642692567132029904299CU213";"N/A"
"08585007642136788967965477703CU62";"Succeeded";"11/24/2023 5:17:51 PM";"11/24/2023 5:18:04 PM";"BARETTI 0570.01-IN-16_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007642136788967965477703CU62";"N/A"
"08585007641724590596660816547CU60";"Succeeded";"11/24/2023 5:18:33 PM";"11/24/2023 5:18:41 PM";"BARETTI 0570.01-IN-16_0-0/Response";"BARETTI 0570.01-IN-16_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007641724590596660816547CU60";"N/A"
"08585007641126110558219924171CU92";"Succeeded";"11/24/2023 5:19:32 PM";"11/24/2023 5:19:41 PM";"BARETTI 0570.01-IN-17_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007641126110558219924171CU92";"N/A"
"08585007640812481757780498138CU211";"Succeeded";"11/24/2023 5:20:04 PM";"11/24/2023 5:20:13 PM";"BARETTI 0570.01-IN-17_0-0/Response";"BARETTI 0570.01-IN-17_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007640812481757780498138CU211";"N/A"
"08585007640240924793814396492CU93";"Succeeded";"11/24/2023 5:21:01 PM";"11/24/2023 5:21:09 PM";"BARETTI 0570.01-IN-18_0-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007640240924793814396492CU93";"N/A"
"08585007639912776166443350999CU56";"Succeeded";"11/24/2023 5:21:34 PM";"11/24/2023 5:21:42 PM";"BARETTI 0570.01-IN-18_0-0/Response";"BARETTI 0570.01-IN-18_0-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007639912776166443350999CU56";"N/A"
"08585007636293606738547683583CU57";"Succeeded";"11/24/2023 5:27:36 PM";"11/24/2023 5:27:45 PM";"BIT 1800003-IN-40_0 W-R-0";"none";"INSPNOTIFCSA";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007636293606738547683583CU57";"N/A"
"08585007635969956595562089684CU66";"Succeeded";"11/24/2023 5:28:08 PM";"11/24/2023 5:28:15 PM";"BIT 1800003-IN-40_0 W-R-0/Response";"BIT 1800003-IN-40_0 W-R-0";"INSPNOTIFCSA";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007635969956595562089684CU66";"N/A"
"08585007635512997871483759206CU212";"Succeeded";"11/24/2023 5:28:54 PM";"11/24/2023 5:29:01 PM";"BIT 1800003-IN-41_0 W-0";"none";"INSPNOTIFCSA";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007635512997871483759206CU212";"N/A"
"08585007635238441332766878563CU90";"Succeeded";"11/24/2023 5:29:21 PM";"11/24/2023 5:29:28 PM";"BIT 1800003-IN-41_0 W-0/Response";"BIT 1800003-IN-41_0 W-0";"INSPNOTIFCSA";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007635238441332766878563CU90";"N/A"
"08585007633666891569576080260CU215";"Succeeded";"11/24/2023 5:31:58 PM";"11/24/2023 5:32:06 PM";"L-PR-KTA-PMT-00142-00";"none";"Letter";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/A2201DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007633666891569576080260CU215";"N/A"
"08585007633149333477349280425CU214";"Succeeded";"11/24/2023 5:32:50 PM";"11/24/2023 5:32:59 PM";"WINKELS 0610001-IN-10_1-1";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007633149333477349280425CU214";"N/A"
"08585007632854952528191098929CU95";"Succeeded";"11/24/2023 5:33:19 PM";"11/24/2023 5:33:28 PM";"WINKELS 0610001-IN-10_1-1/Response";"WINKELS 0610001-IN-10_1-1";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007632854952528191098929CU95";"N/A"
