"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: DistributionMatrix";"Trigger Property: DocumentNumber";"Trigger Property: Message-Communication";"Trigger Property: Message-Warning";"Trigger Property: SiteURL";"Trigger Property: Transmittal";"FlowRunLink";"FlowError"
"08584986092160558626580398684CU195";"Succeeded";"12/19/2023 3:54:29 PM";"12/19/2023 3:54:36 PM";;"4300-AI-DU-126110015";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110015 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092160558626580398684CU195";"N/A"
"08584986092159062465878151345CU00";"Succeeded";"12/19/2023 3:54:29 PM";"12/19/2023 3:54:36 PM";;"4300-AI-DU-126110011";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110011 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092159062465878151345CU00";"N/A"
"08584986091948993996344477153CU13";"Succeeded";"12/19/2023 3:54:50 PM";"12/19/2023 3:54:55 PM";"DistributionMatrixClientTransmittal";"4300-AI-DU-630281015";"New transmittal incoming from client: <a href='https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/I/DU/4300-AI-DU-630281015/Q/CMTD/'>4300-AI-DU-630281015 - Q - STEEL DRAWING - UNIT-63 AREA-28 PIPE RACK STR.630281-PR002I ELEVATION ON ALIGNMENT 630281-PR002I/1 TO 5- Approved for Construction - Proceed as Commented. </a>";"Document <b>4300-AI-DU-630281015</b><br /> was not found in Distribution Matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"True";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986091948993996344477153CU13";"N/A"
"08584986091588947106376134012CU36";"Succeeded";"12/19/2023 3:55:26 PM";"12/19/2023 3:55:31 PM";;"K484-0000-0000-SP-1900-01";"New document uploaded and ready for internal workflow:";"Document K484-0000-0000-SP-1900-01 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K484DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986091588947106376134012CU36";"N/A"
"08584986091556278907523839928CU12";"Succeeded";"12/19/2023 3:55:29 PM";"12/19/2023 3:55:39 PM";;"K461-BB-DA-002DW205100103";"New document uploaded and ready for internal workflow:";"Document K461-BB-DA-002DW205100103 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K461DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986091556278907523839928CU12";"N/A"
"08584986091555791443473044078CU03";"Succeeded";"12/19/2023 3:55:29 PM";"12/19/2023 3:55:38 PM";;"K461-BB-DA-002DW205100101";"New document uploaded and ready for internal workflow:";"Document K461-BB-DA-002DW205100101 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K461DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986091555791443473044078CU03";"N/A"
"08584986091555169475722095223CU39";"Succeeded";"12/19/2023 3:55:29 PM";"12/19/2023 3:55:44 PM";;"K461-BB-DA-002DW205100104";"New document uploaded and ready for internal workflow:";"Document K461-BB-DA-002DW205100104 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K461DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986091555169475722095223CU39";"N/A"
"08584986091553232903323734705CU11";"Succeeded";"12/19/2023 3:55:30 PM";"12/19/2023 3:55:39 PM";;"K461-BB-DA-002DW205100102";"New document uploaded and ready for internal workflow:";"Document K461-BB-DA-002DW205100102 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/K461DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986091553232903323734705CU11";"N/A"
"08584986089953366522834268229CU34";"Succeeded";"12/19/2023 3:58:10 PM";"12/19/2023 3:58:15 PM";;"4300-BQ-DE-136020497-01";"New document uploaded and ready for internal workflow:";"Document 4300-BQ-DE-136020497-01 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986089953366522834268229CU34";"N/A"
"08584986088530585018005636595CU12";"Succeeded";"12/19/2023 4:00:32 PM";"12/19/2023 4:00:42 PM";;"4399-GP-BE-010001";"New document uploaded and ready for internal workflow:";"Document 4399-GP-BE-010001 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/4399DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986088530585018005636595CU12";"N/A"
