"FlowId";"DisplayName";"FlowUrl";"Status";"CreatedTime";"ModifiedTime";"SolutionId";"TriggerConnectorType";"TriggerAction";"TriggerUri"
"ac6c74a1-f30a-49a7-8c03-746844f33cad";"VDM 4346 - Document Structure  - New VDL Record  [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/ac6c74a1-f30a-49a7-8c03-746844f33cad/details";"Stopped";"5/29/2023 10:11:06 AM";"11/16/2023 3:40:22 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"5aad25bf-3eb4-4a1a-a682-2ced1168a94c";"VDM 4346 - Delete Record  [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/5aad25bf-3eb4-4a1a-a682-2ced1168a94c/details";"Stopped";"5/23/2023 7:34:58 AM";"11/16/2023 3:40:17 PM";"N/A";"SharePoint";"GetOnDeletedItems";"N/A"
"2647abcb-57ff-46d2-af3e-da03dc297dca";"VDM 4346 - WRITE EXCEL DATA - BATCH [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/2647abcb-57ff-46d2-af3e-da03dc297dca/details";"Stopped";"5/23/2023 7:33:39 AM";"11/16/2023 3:38:44 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"73223a4e-9740-4037-b920-8ccb3db7b732";"VDM 4325 - WRITE EXCEL DATA - BATCH [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/73223a4e-9740-4037-b920-8ccb3db7b732/details";"Stopped";"7/20/2022 1:12:49 PM";"11/16/2023 3:27:18 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"b7e3765f-390a-4597-9d7e-8a72d8536e2d";"VDM 4325 - Vendor Correspondence [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/b7e3765f-390a-4597-9d7e-8a72d8536e2d/details";"Stopped";"7/20/2022 1:14:16 PM";"11/16/2023 3:27:09 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"4eef29ae-7316-488c-bde2-5037dda003c3";"VDM 4325 - VDL Changes Propagation [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/4eef29ae-7316-488c-bde2-5037dda003c3/details";"Stopped";"7/20/2022 1:13:37 PM";"11/16/2023 3:27:03 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"5eaf9522-2ee8-4561-b199-22d355248804";"VDM 4325 - VALIDATE EXCEL DATA [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/5eaf9522-2ee8-4561-b199-22d355248804/details";"Stopped";"7/20/2022 1:12:06 PM";"11/16/2023 3:26:59 PM";"N/A";"SharePoint";"GetOnUpdatedFileItems";"N/A"
"f62d73e9-c6b8-45de-b4c3-c1d72dc5aacf";"VDM 4325 - Document Structure  - New VDL Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/f62d73e9-c6b8-45de-b4c3-c1d72dc5aacf/details";"Stopped";"7/20/2022 1:13:08 PM";"11/16/2023 3:26:45 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"82a41ddc-b454-4de5-b947-30a78caf7a90";"VDM 4325 - Delete Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/82a41ddc-b454-4de5-b947-30a78caf7a90/details";"Stopped";"7/20/2022 1:13:23 PM";"11/16/2023 3:26:39 PM";"N/A";"SharePoint";"GetOnDeletedItems";"N/A"
"f757bade-d4c9-41de-9597-ba48d59ad0d6";"VDM 4305 - Vendor Correspondence [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/f757bade-d4c9-41de-9597-ba48d59ad0d6/details";"Stopped";"5/30/2022 7:29:15 AM";"11/16/2023 3:20:54 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
